4822282;utility;G09B;Active Learning
5155801;utility;G06K;Supervised Learning
5537118;utility;G01S;Supervised Learning
5675710;utility;G06F;Unsupervised Learning
5699449;utility;G06N;Supervised Learning
5706402;utility;H03H;Unsupervised Learning
5706402;utility;H04L;Unsupervised Learning
5847952;utility;G05B;Supervised Learning
6247001;utility;G06N;Reinforcement Learning
6519580;utility;G06N;Supervised Learning
6964405;utility;G08C;Active Learning
7039239;utility;G06K;Supervised Learning
7133856;utility;G06K;Supervised Learning
7177743;utility;G01S;Unsupervised Learning
7280697;utility;G06K;Unsupervised Learning
7519201;utility;G06K;Semi-Supervised Learning
7562014;utility;G06F;Active Learning
7650317;utility;G06K;Active Learning
7664644;utility;H04M;Active Learning
7742806;utility;A61B;Supervised Learning
7903883;utility;G06K;Unsupervised Learning
8041442;utility;C25D;Reinforcement Learning
8285719;utility;G06N;Semi-Supervised Learning
8324345;utility;C07K;Active Learning
8391963;utility;G16H;Supervised Learning
8428241;utility;G10L;Semi-Supervised Learning
8527432;utility;G06N;Supervised Learning
8560477;utility;G06N;Semi-Supervised Learning
8560477;utility;G06N;Supervised Learning
8566262;utility;G06Q;Unsupervised Learning
8650138;utility;G06F;Active Learning
8666746;utility;G10L;Active Learning
8744557;utility;G06K;Supervised Learning
8812274;utility;G06K;Supervised Learning
8832790;utility;H04L;Unsupervised Learning
8867786;utility;G06K;Supervised Learning
8867786;utility;G06T;Supervised Learning
8875267;utility;G06F;Active Learning
8892487;utility;G11C;Reinforcement Learning
8909567;utility;G06N;Reinforcement Learning
8954373;utility;A61B;Unsupervised Learning
8965819;utility;G06F;Reinforcement Learning
8977041;utility;G06K;Unsupervised Learning
8990084;utility;G10L;Active Learning
8996177;utility;Y10S;Reinforcement Learning
9146546;utility;G05B;Reinforcement Learning
9173614;utility;G06K;Supervised Learning
9310879;utility;G06F;Unsupervised Learning
9415778;utility;B60W;Supervised Learning
9471064;utility;G06N;Active Learning
9471882;utility;G06F;Supervised Learning
9497204;utility;H04L;Semi-Supervised Learning
9507917;utility;G06F;Unsupervised Learning
9519868;utility;G06N;Active Learning
9569735;utility;G06F;Supervised Learning
9619703;utility;G06K;Unsupervised Learning
9619703;utility;G06T;Unsupervised Learning
9646262;utility;G06N;Supervised Learning
9655564;utility;A61B;Supervised Learning
9659560;utility;G06N;Supervised Learning
9679258;utility;A63F;Reinforcement Learning
9727824;utility;G06K;Semi-Supervised Learning
9727824;utility;G06K;Supervised Learning
9799312;utility;G10H;Reinforcement Learning
9842587;utility;G10L;Unsupervised Learning
9904893;utility;G06N;Supervised Learning
